"nota1","nota2","nota3","final","media","periodo","coddisciplina","disciplina","matricula","situacao","vez","departamento"
0,3.5,0,-1,1.2,20121,1108089,Fundamentos de Física Clássica,109170,R,1,dme
1,3.7,4.7,-1,3.1,20122,1108089,Fundamentos de Física Clássica,109170,R,2,dme
0,0.2,0,-1,0.1,20121,1108089,Fundamentos de Física Clássica,1101535,R,2,dme
0,1,2,-1,1,20112,1108089,Fundamentos de Física Clássica,1101535,R,1,dme
5,5.4,4,4,4.5,20111,1108089,Fundamentos de Física Clássica,1101318,R,1,dme
3,6.5,6,7.5,6.1,20112,1108089,Fundamentos de Física Clássica,1101318,A,2,dme
3,8,1,4,4,20121,1108089,Fundamentos de Física Clássica,1101708,R,2,dme
10,5,9.1,-1,8,20122,1108089,Fundamentos de Física Clássica,1101708,A,3,dme
2.5,1,4.5,-1,2.7,20112,1108089,Fundamentos de Física Clássica,1101708,R,1,dme
0,2.5,0,-1,0.8,20121,1108089,Fundamentos de Física Clássica,1102453,R,2,dme
4.2,6.4,1.8,-1,2.5,20122,1108089,Fundamentos de Física Clássica,1102453,R,3,dme
5,3.5,4.5,4,4.2,20112,1108089,Fundamentos de Física Clássica,1102453,R,1,dme
0.2,6,0,-1,2.1,20121,1108089,Fundamentos de Física Clássica,1102120,R,2,dme
3,1.5,4.3,-1,2.9,20122,1108089,Fundamentos de Física Clássica,1102120,R,3,dme
3,3,3.5,-1,3.2,20112,1108089,Fundamentos de Física Clássica,1102120,R,1,dme
0,1.2,0,-1,0.4,20121,1108089,Fundamentos de Física Clássica,1102639,R,2,dme
5,5.5,4.5,4,4.6,20112,1108089,Fundamentos de Física Clássica,1102639,R,1,dme
0,0,0,-1,0,20121,1108089,Fundamentos de Física Clássica,1102113,R,1,dme
2,4,3.7,-1,3.2,20122,1108089,Fundamentos de Física Clássica,1102113,R,2,dme
0.2,2,0.3,-1,0.8,20121,1108089,Fundamentos de Física Clássica,1102727,R,2,dme
2,4.5,6,4,4.1,20112,1108089,Fundamentos de Física Clássica,1102727,R,1,dme
0,0,0,-1,0,20121,1108089,Fundamentos de Física Clássica,110265,R,2,dme
9.5,5.9,6.6,-1,7.3,20122,1108089,Fundamentos de Física Clássica,110265,A,3,dme
3,4.5,5,0,2.5,20112,1108089,Fundamentos de Física Clássica,110265,R,1,dme
0.2,4,2.5,-1,2.2,20121,1108089,Fundamentos de Física Clássica,1102572,R,2,dme
4.2,6.4,1.8,6.5,5.1,20122,1108089,Fundamentos de Física Clássica,1102572,A,3,dme
5,5.5,4,2,3.7,20112,1108089,Fundamentos de Física Clássica,1102572,R,1,dme
0,0,0,-1,0,20121,1108089,Fundamentos de Física Clássica,1102522,R,2,dme
5,1,3.5,-1,3.2,20112,1108089,Fundamentos de Física Clássica,1102522,R,1,dme
6,9,6,-1,7,20122,1108089,Fundamentos de Física Clássica,1102554,A,2,dme
4,4,4,2.5,3.4,20112,1108089,Fundamentos de Física Clássica,1102554,R,1,dme
4.5,3,4.5,1.5,3,20111,1108089,Fundamentos de Física Clássica,1102341,R,1,dme
4,4,4,4,4,20121,1108089,Fundamentos de Física Clássica,1102341,R,3,dme
8,6.8,8.6,-1,7.8,20122,1108089,Fundamentos de Física Clássica,1102341,A,4,dme
3.5,3,6,1.5,3.1,20112,1108089,Fundamentos de Física Clássica,1102341,R,2,dme
0,0.1,0,-1,0,20121,1108089,Fundamentos de Física Clássica,1102711,R,2,dme
4.5,1,3,-1,2.8,20112,1108089,Fundamentos de Física Clássica,1102711,R,1,dme
0,0.1,0,-1,0,20121,1108089,Fundamentos de Física Clássica,110230,R,1,dme
