ano	periodo	codigo	disciplina	matricula	num_Nota	nota	media	situacao
2011	1	1301014	Administração	072182	1	7	7.3	A
2011	1	1301014	Administração	072182	2	10	7.3	A
2011	1	1301014	Administração	072182	3	5	7.3	A
2011	1	1301014	Administração	081434	F	6	6.3	A
2011	1	1301014	Administração	081434	1	8	6.3	A
2011	1	1301014	Administração	081434	2	7.5	6.3	A
2011	1	1301014	Administração	081434	3	4	6.3	A
2011	1	1301014	Administração	082181	1	8	8.5	A
2011	1	1301014	Administração	082181	2	9	8.5	A
2011	1	1301014	Administração	082181	3	8.5	8.5	A
2011	1	1301014	Administração	082710	1	7	7.3	A
2011	1	1301014	Administração	082710	2	8	7.3	A
2011	1	1301014	Administração	082710	3	7	7.3	A
2011	1	1301014	Administração	091733	1	6	8.3	A
2011	1	1301014	Administração	091733	2	10	8.3	A
2011	1	1301014	Administração	091733	3	9	8.3	A
2011	1	1301014	Administração	091417	F	6	5.4	A
2011	1	1301014	Administração	091417	1	3	5.4	A
2011	1	1301014	Administração	091417	2	7	5.4	A
2011	1	1301014	Administração	091417	3	5	5.4	A
2011	1	1301014	Administração	09199	F	3	5	A
2011	1	1301014	Administração	09199	1	3.3	5	A
2011	1	1301014	Administração	09199	2	8.5	5	A
2011	1	1301014	Administração	09199	3	7	5	A
2011	1	1301014	Administração	091486	1	7.5	8	A
2011	1	1301014	Administração	091486	2	9.5	8	A
2011	1	1301014	Administração	091486	3	7	8	A
2011	1	1301014	Administração	091293	1	5.5	8.5	A
2011	1	1301014	Administração	091293	2	10	8.5	A
2011	1	1301014	Administração	091293	3	10	8.5	A
2011	1	1301014	Administração	091141	F	6	6.4	A
2011	1	1301014	Administração	091141	1	8.2	6.4	A
2011	1	1301014	Administração	091141	2	7.5	6.4	A
2011	1	1301014	Administração	091141	3	4	6.4	A
2011	1	1301014	Administração	091764	1	7	7.8	A
2011	1	1301014	Administração	091764	2	9.5	7.8	A
2011	1	1301014	Administração	091764	3	7	7.8	A
2011	1	1301014	Administração	091692	F	3	4.3	R
2011	1	1301014	Administração	091692	1	3.3	4.3	R
2011	1	1301014	Administração	091692	2	7	4.3	R
2011	1	1301014	Administração	091692	3	5	4.3	R
2011	1	1301014	Administração	092768	1	5.3	8.1	A
2011	1	1301014	Administração	092768	2	10	8.1	A
2011	1	1301014	Administração	092768	3	9	8.1	A
2011	1	1301014	Administração	09215	1	4.5	7.8	A
2011	1	1301014	Administração	09215	2	10	7.8	A
2011	1	1301014	Administração	09215	3	9	7.8	A
2011	1	1301014	Administração	092641	1	7	7.2	A
2011	1	1301014	Administração	092641	2	7.5	7.2	A
2011	1	1301014	Administração	092641	3	7	7.2	A
2011	1	1301014	Administração	092377	1	10	9.7	A
2011	1	1301014	Administração	092377	2	10	9.7	A
2011	1	1301014	Administração	092377	3	9	9.7	A
2011	1	1301014	Administração	092477	1	8.5	7.8	A
2011	1	1301014	Administração	092477	2	7	7.8	A
2011	1	1301014	Administração	092477	3	8	7.8	A
2011	1	1301014	Administração	092571	1	6.5	8.5	A
2011	1	1301014	Administração	092571	2	10	8.5	A
2011	1	1301014	Administração	092571	3	9	8.5	A
2011	1	1301014	Administração	092752	F	4	5.1	A
2011	1	1301014	Administração	092752	1	3.6	5.1	A
2011	1	1301014	Administração	092752	2	5	5.1	A
2011	1	1301014	Administração	092752	3	9	5.1	A
2011	1	1301014	Administração	101255	1	7.5	7.5	A
2011	1	1301014	Administração	101255	2	7	7.5	A
2011	1	1301014	Administração	101255	3	8	7.5	A
2011	1	1301014	Administração	101264	1	5	3.8	R
2011	1	1301014	Administração	101264	2	6	3.8	R
2011	1	1301014	Administração	101264	3	8	3.8	R
2011	1	1301014	Administração	111638	F	5	5.5	A
2011	1	1301014	Administração	111638	1	2.7	5.5	A
2011	1	1301014	Administração	111638	2	8.5	5.5	A
2011	1	1301014	Administração	111638	3	6.5	5.5	A
2011	2	1301014	Administração	071222	1	7.6	8.2	A
2011	2	1301014	Administração	071222	2	8.5	8.2	A
2011	2	1301014	Administração	071222	3	8.5	8.2	A
